qmk,alt,legend,altLegend,kind,raw
KC_NO,KC_NO,◻,,QMK,0
KC_TRANSPARENT,KC_TRNS,▽,,QMK,1
KC_A,,A,,BASIC,4
KC_B,,B,,BASIC,5
KC_C,,C,,BASIC,6
KC_D,,D,,BASIC,7
KC_E,,E,,BASIC,8
KC_F,,F,,BASIC,9
KC_G,,G,,BASIC,10
KC_H,,H,,BASIC,11
KC_I,,I,,BASIC,12
KC_J,,J,,BASIC,13
KC_K,,K,,BASIC,14
KC_L,,L,,BASIC,15
KC_M,,M,,BASIC,16
KC_N,,N,,BASIC,17
KC_O,,O,,BASIC,18
KC_P,,P,,BASIC,19
KC_Q,,Q,,BASIC,20
KC_R,,R,,BASIC,21
KC_S,,S,,BASIC,22
KC_T,,T,,BASIC,23
KC_U,,U,,BASIC,24
KC_V,,V,,BASIC,25
KC_W,,W,,BASIC,26
KC_X,,X,,BASIC,27
KC_Y,,Y,,BASIC,28
KC_Z,,Z,,BASIC,29
KC_1,,1,!,BASIC,30
KC_2,,2,@,BASIC,31
KC_3,,3,#,BASIC,32
KC_4,,4,$,BASIC,33
KC_5,,5,%,BASIC,34
KC_6,,6,^,BASIC,35
KC_7,,7,&,BASIC,36
KC_8,,8,*,BASIC,37
KC_9,,9,(,BASIC,38
KC_0,,0,),BASIC,39
KC_ENTER,KC_ENT,Enter,,BASIC,40
KC_ESCAPE,KC_ESC,ESC,,BASIC,41
KC_BSPACE,KC_BSPC,BS,,BASIC,42
KC_TAB,,Tab,,BASIC,43
KC_SPACE,KC_SPC,Space,,BASIC,44
KC_MINUS,KC_MINS,-,_,BASIC,45
KC_EQUAL,KC_EQL,=,+,BASIC,46
KC_LBRACKET,KC_LBRC,[,{,BASIC,47
KC_RBRACKET,KC_RBRC,],},BASIC,48
KC_BSLASH,KC_BSLS,\,|,BASIC,49
KC_NONUS_HASH,KC_NUHS,#,~,BASIC,50
KC_SCOLON,KC_SCLN,;,:,BASIC,51
KC_QUOTE,KC_QUOT,',",",BASIC,52
KC_GRAVE,,~,,BASIC,53
KC_COMMA,KC_COMM,",",<,BASIC,54
KC_DOT,,.,>,BASIC,55
KC_SLASH,KC_SLSH,/,?,BASIC,56
KC_CAPSLOCK,KC_CAPS,Caps Lock,,BASIC,57
KC_F1,,F1,,BASIC,58
KC_F2,,F2,,BASIC,59
KC_F3,,F3,,BASIC,60
KC_F4,,F4,,BASIC,61
KC_F5,,F5,,BASIC,62
KC_F6,,F6,,BASIC,63
KC_F7,,F7,,BASIC,64
KC_F8,,F8,,BASIC,65
KC_F9,,F9,,BASIC,66
KC_F10,,F10,,BASIC,67
KC_F11,,F11,,BASIC,68
KC_F12,,F12,,BASIC,69
KC_PSCREEN,KC_PSCR,PrtScrn,,BASIC,70
KC_SCROLLLOCK,KC_SLCK,Scroll Lock,,BASIC,71
KC_PAUSE,KC_PAUS,Pause,,BASIC,72
KC_INSERT,KC_INS,Insert,,BASIC,73
KC_HOME,,Home,,BASIC,74
KC_PGUP,,Page Up,,BASIC,75
KC_DELETE,KC_DEL,Del,,BASIC,76
KC_END,,End,,BASIC,77
KC_PGDOWN,KC_PGDN,Page Down,,BASIC,78
KC_RIGHT,KC_RGHT,→,,BASIC,79
KC_LEFT,,←,,BASIC,80
KC_DOWN,,↓,,BASIC,81
KC_UP,,↑,,BASIC,82
KC_NUMLOCK,KC_NLCK,Num Lock,,BASIC,83
KC_KP_SLASH,KC_PSLS,/,,KEYPAD,84
KC_KP_ASTERISK,KC_PAST,*,,KEYPAD,85
KC_KP_MINUS,KC_PMNS,-,,KEYPAD,86
KC_KP_PLUS,KC_PPLS,+,,KEYPAD,87
KC_KP_ENTER,KC_PENT,Enter,,KEYPAD,88
KC_KP_1,KC_P1,1,End,KEYPAD,89
KC_KP_2,KC_P2,2,↓,KEYPAD,90
KC_KP_3,KC_P3,3,PgDn,KEYPAD,91
KC_KP_4,KC_P4,4,←,KEYPAD,92
KC_KP_5,KC_P5,5,,KEYPAD,93
KC_KP_6,KC_P6,6,→,KEYPAD,94
KC_KP_7,KC_P7,7,Home,KEYPAD,95
KC_KP_8,KC_P8,8,↑,KEYPAD,96
KC_KP_9,KC_P9,9,PgUp,KEYPAD,97
KC_KP_0,KC_P0,0,Ins,KEYPAD,98
KC_KP_DOT,KC_PDOT,.,Del,KEYPAD,99
KC_NONUS_BSLASH,KC_NUBS,Non-US \,\,BASIC,100
KC_APPLICATION,KC_APP,App,,SYSTEM,101
KC_POWER,,Power,,SYSTEM,102
KC_KP_EQUAL,KC_PEQL,=,,KEYPAD,103
KC_F13,,F13,,BASIC,104
