qmk,alt,legend,altLegend,type,raw
KC_A,,A,,,0x0004
KC_B,,B,,,0x0005
KC_C,,C,,,0x0006
KC_D,,D,,,0x0007
KC_E,,E,,,0x0008
KC_F,,F,,,0x0009
KC_G,,G,,,0x000a
KC_H,,H,,,0x000b
KC_I,,I,,,0x000c
KC_J,,J,,,0x000d
KC_K,,K,,,0x000e
KC_L,,L,,,0x000f
KC_M,,M,,,0x0010
KC_N,,N,,,0x0011
KC_O,,O,,,0x0012
KC_P,,P,,,0x0013
KC_Q,,Q,,,0x0014
KC_R,,R,,,0x0015
KC_S,,S,,,0x0016
KC_T,,T,,,0x0017
KC_U,,U,,,0x0018
KC_V,,V,,,0x0019
KC_W,,W,,,0x001a
KC_X,,X,,,0x001b
KC_Y,,Y,,,0x001c
KC_Z,,Z,,,0x001d
KC_1,,1,!,,0x001e
KC_2,,2,@,,0x001f
KC_3,,3,#,,0x0020
KC_4,,4,$,,0x0021
KC_5,,5,%,,0x0022
KC_6,,6,^,,0x0023
KC_7,,7,&,,0x0024
KC_8,,8,*,,0x0025
KC_9,,9,(,,0x0026
KC_0,,0,),,0x0027
KC_F1,,F1,,,0x003a
KC_F2,,F2,,,0x003b
KC_F3,,F3,,,0x003c
KC_F4,,F4,,,0x003d
KC_F5,,F5,,,0x003e
KC_F6,,F6,,,0x003f
KC_F7,,F7,,,0x0040
KC_F8,,F8,,,0x0041
KC_F9,,F9,,,0x0042
KC_F10,,F10,,,0x0043
KC_F11,,F11,,,0x0044
KC_F12,,F12,,,0x0045
KC_F13,,F13,,,0x0068
KC_F14,,F14,,,0x0069
KC_F15,,F15,,,0x006a
KC_F16,,F16,,,0x006b
KC_F17,,F17,,,0x006c
KC_F18,,F18,,,0x006d
KC_F19,,F19,,,0x006e
KC_F20,,F20,,,0x006f
KC_F21,,F21,,,0x0070
KC_F22,,F22,,,0x0071
KC_F23,,F23,,,0x0072
KC_F24,,F24,,,0x0073
KC_ENTER,KC_ENT,Enter,,,0x0028
KC_ESCAPE,KC_ESC,ESC,,,0x0029
KC_BSPACE,KC_BSPC,BS,,,0x002a
KC_TAB,,Tab,,,0x002b
KC_SPACE,KC_SPC,Space,,,0x002c
KC_MINUS,KC_MINS,-,_,,0x002d
KC_EQUAL,KC_EQL,=,+,,0x002e
KC_LBRACKET,KC_LBRC,[,{,,0x002f
KC_RBRACKET,KC_RBRC,],},,0x0030
KC_BSLASH,KC_BSLS,\,\,,0x0031
KC_NONUS_HASH,KC_NUHS,#,~,,0x0032
KC_SCOLON,KC_SCLN,;,:,,0x0033
KC_QUOTE,KC_QUOT,',",",,0x0034
KC_GRAVE,,~,,,0x0035
KC_COMMA,KC_COMM,",",<,,0x0036
KC_DOT,,.,>,,0x0037
KC_SLASH,KC_SLSH,/,?,,0x0038
KC_NONUS_BSLASH,KC_NUBS,Non-US \,\,,0x0064
KC_CAPSLOCK,KC_CAPS,Caps Lock,,,0x0039
KC_SCROLLLOCK,KC_SLCK,Scroll Lock,,,0x0047
KC_NUMLOCK,KC_NLCK,Num Lock,,,0x0053
KC_LOCKING_CAPS,KC_LCAP,LCAP,,,0x0082
KC_LOCKING_NUM,KC_LNUM,LNUM,,,0x0083
KC_LOCKING_SCROLL,KC_LSCR,LSCR,,,0x0084
KC_LCTRL,KC_LCTL,Ctrl,,,0x00e0
KC_LSHIFT,KC_LSFT,Shift,,,0x00e1
KC_LALT,KC_LOPT,Alt,,,0x00e2
KC_LGUI,KC_LCMD,GUI,,,0x00e3
KC_RCTRL,KC_RCTL,Ctrl,,,0x00e4
KC_RSHIFT,KC_RSFT,Shift,,,0x00e5
KC_RALT,,Alt,,,0x00e6
KC_RGUI,,GUI,,,0x00e7
KC_INT1,KC_RO,\,_,JIS,0x0087
KC_INT2,KC_KANA,かな,,JIS,0x0088
KC_INT3,KC_JYEN,￥,\,JIS,0x0089
KC_INT4,KC_HENK,変換,,JIS,0x008a
KC_INT5,KC_MHEN,無変換,,JIS,0x008b
KC_INT6,,Numpad,,JIS,0x008c
KC_INT7,,Int7,,,0x008d
KC_INT8,,Int8,,,0x008e
KC_INT9,,Int9,,,0x008f
KC_LANG1,KC_HAEN,Hangul,,,0x0090
KC_LANG2,KC_HANJ,Hanja,,,0x0091
KC_LANG3,,カタカナ,,JIS,0x0092
KC_LANG4,,ひらがな,,JIS,0x0093
KC_LANG5,,全角半角,,JIS,0x0094
KC_LANG6,,Lang6,,,0x0095
KC_LANG7,,Lang7,,,0x0096
KC_LANG8,,Lang8,,,0x0097
KC_LANG9,,Lang9,,,0x0098
KC_PSCREEN,KC_PSCR,PrtScrn,,,0x0046
KC_PAUSE,KC_PAUS,Pause,,,0x0048
KC_INSERT,KC_INS,Insert,,,0x0049
KC_HOME,,Home,,,0x004a
KC_PGUP,,Page Up,,,0x004b
KC_DELETE,KC_DEL,Del,,,0x004c
KC_END,,End,,,0x004d
KC_PGDOWN,KC_PGDN,Page Down,,,0x004e
KC_RIGHT,KC_RGHT,→,,,0x004f
KC_LEFT,,←,,,0x0050
KC_DOWN,,↓,,,0x0051
KC_UP,,↑,,,0x0052
KC_APPLICATION,KC_APP,App,,,0x0065
KC_POWER,,Power,,,0x0066
KC_EXECUTE,KC_EXEC,Execute,,,0x0074
KC_HELP,,Help,,,0x0075
KC_MENU,,Menu,,,0x0076
KC_SELECT,KC_SLCT,Select,,,0x0077
KC_STOP,,Stop,,,0x0078
KC_AGAIN,KC_AGIN,Again,,,0x0079
KC_UNDO,,Undo,,,0x007a
KC_CUT,,Cut,,,0x007b
KC_COPY,,Copy,,,0x007c
KC_PASTE,KC_PSTE,Paste,,,0x007d
KC_FIND,,Find,,,0x007e
KC__MUTE,,Mute,,MEDIA,0x007f
KC__VOLUP,,Vol Up,,MEDIA,0x0080
KC__VOLDOWN,,Vol Down,,MEDIA,0x0081
KC_ALT_ERASE,KC_ERAS,Erase,,,0x0099
KC_SYSREQ,,SysReq,,,0x009a
KC_CANCEL,,Cancel,,,0x009b
KC_CLEAR,KC_CLR,Clear,,,0x009c
KC_PRIOR,,Prior,,,0x009d
KC_RETURN,,Return,,,0x009e
KC_SEPARATOR,,Separator,,,0x009f
KC_OUT,,Out,,,0x00a0
KC_OPER,,Oper,,,0x00a1
KC_CLEAR_AGAIN,,Clear/Again,,,0x00a2
KC_CRSEL,,CrSel/Props,,,0x00a3
KC_EXSEL,,ExSel,,,0x00a4
KC_SYSTEM_POWER,KC_PWR,Power,,SYSTEM,0x00ad
KC_SYSTEM_SLEEP,KC_SLEP,Sleep,,SYSTEM,0x00ae
KC_SYSTEM_WAKE,KC_WAKE,Wake,,SYSTEM,0x00af
KC_AUDIO_MUTE,KC_MUTE,Mute,,MEDIA,0x00b0
KC_AUDIO_VOL_UP,KC_VOLU,Volume Up,,MEDIA,0x00b1
KC_AUDIO_VOL_DOWN,KC_VOLD,Volume Down,,MEDIA,0x00b2
KC_MEDIA_NEXT_TRACK,KC_MNXT,Next,,MEDIA,0x00b3
KC_MEDIA_PREV_TRACK,KC_MPRV,Prev,,MEDIA,0x00b4
KC_MEDIA_STOP,KC_MSTP,Stop,,MEDIA,0x00b5
KC_MEDIA_PLAY_PAUSE,KC_MPLY,Play,,MEDIA,0x00b6
KC_MEDIA_SELECT,KC_MSEL,Player,,MEDIA,0x00b7
KC_MEDIA_EJECT,KC_EJCT,Eject,,MEDIA,0x00b8
KC_MAIL,,Mail,,MEDIA,0x00b9
